,WR,distances,corr
1948-01-01,5,1.7541094265853303,
1948-01-02,5,1.8504285519315955,
1948-01-03,5,1.9254695644167295,
1948-01-04,2,1.8586847942476254,0.43400194493922784
1948-01-05,2,1.9742140490673366,0.44682715049834965
1948-01-06,2,2.253476683257407,0.3935833956230613
1948-01-07,1,2.4227832783198884,0.44018601911625055
1948-01-08,1,2.3596334549783675,0.4584144053617326
1948-01-09,1,2.1151459639615138,0.4430863686141487
1948-01-10,5,1.710975671253074,
1948-01-11,5,1.3554663443490482,
1948-01-12,5,1.460898846895629,
1948-01-13,5,1.9123449509293788,
1948-01-14,4,2.3547244621781362,0.3037018608902078
1948-01-15,4,2.6243809361579884,0.321646357152051
1948-01-16,4,2.7643133127485378,0.328828968362035
1948-01-17,4,2.7776985298874277,0.3256151794872087
1948-01-18,4,2.7114127769253127,0.30453763605309064
1948-01-19,1,2.5661528332373478,0.31897619565343616
1948-01-20,1,2.354702797185852,0.3382087379608196
1948-01-21,1,2.1918263278979686,0.3353245158146953
1948-01-22,1,2.128661381549617,0.31559185673835133
1948-01-23,1,2.2362240197639403,0.283412754979481
1948-01-24,2,2.340078526367663,0.3995854884718216
1948-01-25,2,2.623847293200448,0.4542516250096396
1948-01-26,2,2.9462228079070645,0.4555173683906355
1948-01-27,2,3.137303328209534,0.42668104518401173
1948-01-28,2,3.108654886922802,0.3784647990142039
1948-01-29,2,2.868704037632688,0.3137946460939196
1948-01-30,0,2.2678576962778174,0.4311090706700524
1948-01-31,0,1.6928848156507648,0.5572318092533501
1948-02-01,0,1.4714320166954167,0.5849341172931898
1948-02-02,5,1.63411893623376,
1948-02-03,5,1.88663943796282,
1948-02-04,5,2.243920487650863,
1948-02-05,3,2.488971303858594,0.4233780833950133
1948-02-06,3,2.714028436240894,0.4002053950399962
1948-02-07,3,2.874275220559222,0.36781438109927317
1948-02-08,3,2.937977426650855,0.3402871474317095
1948-02-09,3,2.924649609367975,0.326182568671432
1948-02-10,3,2.876119815158094,0.33049009638925414
1948-02-11,3,2.815227085250218,0.3548299936080243
1948-02-12,3,2.72937388342431,0.3973870125120494
1948-02-13,3,2.597135727422938,0.452510898000943
1948-02-14,3,2.428442759392965,0.5087287103398548
1948-02-15,3,2.277459683172312,0.5478541120545035
1948-02-16,3,2.2101633795639613,0.5530671024028818
1948-02-17,3,2.2481042605322656,0.5229281102067436
1948-02-18,3,2.354653635511815,0.47118825039936296
1948-02-19,3,2.478068578577813,0.413753449119852
1948-02-20,3,2.58264320195859,0.3622366094333035
1948-02-21,4,2.5259219299849804,0.353035840538541
1948-02-22,4,2.3391967658997856,0.43812108833938335
1948-02-23,4,2.1830820052381887,0.45852696175685287
1948-02-24,4,2.0855934423668527,0.41427940026445487
1948-02-25,5,2.063719354443269,
1948-02-26,5,2.0682607481872775,
1948-02-27,5,2.2675351962670156,
1948-02-28,1,2.4813092479198535,0.23972186411206864
1948-03-01,1,2.6414576018859868,0.24287735208264863
1948-03-02,1,2.6673086479224617,0.2401635582511176
1948-03-03,1,2.569179697300478,0.2326186510226743
1948-03-04,5,2.433094914203317,
1948-03-05,5,2.283610856172104,
1948-03-06,5,2.214020468508731,
1948-03-07,5,2.1788627250187425,
1948-03-08,5,2.118520648679196,
1948-03-09,5,2.038833221269058,
1948-03-10,5,2.015121571967735,
1948-03-11,5,2.112667031652148,
1948-03-12,2,2.188490464391805,0.33547660072847546
1948-03-13,2,2.243267788861483,0.4299544137571673
1948-03-14,2,2.289690086328686,0.5249998823161055
1948-03-15,2,2.350028681737438,0.6079450593660652
1948-03-16,2,2.4593615920341536,0.6621531574077442
1948-03-17,2,2.598222807064343,0.6841178618808564
1948-03-18,2,2.6936937079661747,0.6816874286145164
1948-03-19,2,2.6890698586504045,0.6603445360581617
1948-03-20,2,2.608876126764431,0.6151603317120278
1948-03-21,2,2.567848335974807,0.5311697211178485
1948-03-22,1,2.599272813274984,0.3939051858618533
1948-03-23,1,2.6153570505517023,0.43069907035439886
1948-03-24,1,2.7252056842881256,0.4180710698092135
1948-03-25,1,2.7515566827897118,0.3786513749222966
1948-03-26,1,2.5930127940655643,0.3251371460380625
1948-03-27,1,2.2767201951484646,0.25514612467433595
1948-03-28,2,1.7146581848168332,0.4754888159754145
1948-03-29,2,1.277295397411899,0.6376983612515085
1948-03-30,2,1.435368852277139,0.5741142457233817
1948-03-31,2,1.9440091012156788,0.38930664064047954
1948-04-01,5,2.4004267642842,
1948-04-02,5,2.588594767243111,
1948-04-03,3,2.6020074516097744,0.5063797120449581
1948-04-04,3,2.4826913808124536,0.609871277170614
1948-04-05,3,2.377659182959078,0.6991837387726921
1948-04-06,3,2.3142878681950196,0.7713517527187012
1948-04-07,3,2.303992922173385,0.8307914266963402
1948-04-08,3,2.3740922991170312,0.8766831073720999
1948-04-09,3,2.5551518333918577,0.9025997705264024
1948-04-10,3,2.8277263780263397,0.9061626840621404
1948-04-11,3,3.109767234650522,0.8938434362955087
1948-04-12,3,3.304142745072392,0.8755471431066563
1948-04-13,3,3.3488620235018494,0.8580288863939136
1948-04-14,3,3.2376294754490793,0.8429910496945943
1948-04-15,3,3.0108920813132074,0.8281380133801939
1948-04-16,3,2.7290921643099604,0.8090058620582307
1948-04-17,3,2.4515923067802765,0.7808970276582535
1948-04-18,3,2.2444494962965438,0.740944093212698
1948-04-19,3,2.194596530383221,0.691572754217375
1948-04-20,3,2.3529667534502394,0.6438714180848751
1948-04-21,1,2.632911089066383,0.38752329006781466
1948-04-22,1,2.649343945063978,0.34651087994255897
1948-04-23,1,2.672110383438107,0.2722086878738194
1948-04-24,1,2.694276435473671,0.14440787464276192
1948-04-25,1,2.8384725860513527,-0.03184839590054001
1948-04-26,5,3.038049659012509,
1948-04-27,0,3.2613917526328096,0.3657540348448959
1948-04-28,0,3.438454916841213,0.4345922610126322
1948-04-29,0,3.510005239779677,0.4853755149847935
1948-04-30,0,3.3638858002009595,0.5272857090685624
1948-05-01,0,3.026448756031463,0.5565008480062476
1948-05-02,0,2.639840348006559,0.5580126914094677
1948-05-03,0,2.3788759203571863,0.512562796262174
1948-05-04,0,2.312129997487319,0.41642535339171266
1948-05-05,2,2.103064923215447,0.403946094616363
1948-05-06,2,1.9402881174603586,0.4483919327027036
1948-05-07,2,1.9994567332577557,0.37713944867829385
1948-05-08,5,2.079032217323839,
1948-05-09,5,2.0154254195478862,
1948-05-10,5,1.8645881417444283,
1948-05-11,5,1.698911694388502,
1948-05-12,1,1.418410686784028,0.6864849922583092
1948-05-13,1,1.4219516100217506,0.752944585690678
1948-05-14,1,1.6359455446063695,0.7228269993722747
1948-05-15,1,1.7435835868734293,0.6628475352637047
1948-05-16,1,1.6578738029096365,0.5732395555836658
1948-05-17,5,1.6030981361736125,
1948-05-18,4,1.3696969874559102,0.5818449000785072
1948-05-19,4,1.5918553520432805,0.7813819225930313
1948-05-20,4,2.401919936990442,0.7878215278187737
1948-05-21,4,3.0857095015822544,0.7571425272396324
1948-05-22,4,3.3987817450486637,0.7193426467909635
1948-05-23,4,3.3261623790545287,0.6772516157280292
1948-05-24,4,3.003353226492755,0.624958524175276
1948-05-25,4,2.6621146540587444,0.5492026963390981
1948-05-26,4,2.5063868814599646,0.45319869734250406
1948-05-27,4,2.5422333427964263,0.3874047068396831
1948-05-28,1,2.4974077275322104,0.5482906366734562
1948-05-29,1,2.527421015893876,0.4788324045805823
1948-05-30,1,2.605215181084807,0.38894562095900553
1948-05-31,1,2.77050016405281,0.2895684617152198
1948-06-01,1,3.0242384640036306,0.1963566690723228
1948-06-02,1,3.2829010828786824,0.1284207861460314
1948-06-03,1,3.4409816921828043,0.08853671855777438
1948-06-04,1,3.4496693810808563,0.06170238474903786
1948-06-05,0,3.1409887141979405,0.4958027241561942
1948-06-06,0,2.7124385878389075,0.5763310368020158
1948-06-07,0,2.477312324569796,0.6029689727704662
1948-06-08,0,2.518844451437643,0.5834846958207003
1948-06-09,0,2.69749148373808,0.5431798313681157
1948-06-10,0,2.8252367724134695,0.5098085490900848
1948-06-11,0,2.823438078572381,0.497799231310904
1948-06-12,0,2.724932138098155,0.5064074577859197
1948-06-13,0,2.6088503238673977,0.5253198688266189
1948-06-14,0,2.522499031535729,0.5437071073403517
1948-06-15,0,2.4561610793091426,0.5565112147600645
1948-06-16,0,2.403885122727333,0.5600163822071598
1948-06-17,0,2.4327667566546705,0.5431903303597829
1948-06-18,0,2.64981534183737,0.49421759758717876
1948-06-19,0,3.0686828624379303,0.4235243162892757
1948-06-20,0,3.5678410840997175,0.35619593640487135
1948-06-21,0,3.9816778997365754,0.30377078995592727
1948-06-22,0,4.1764554991898555,0.26235275359109755
1948-06-23,2,3.8992298415313225,0.19227764986491677
1948-06-24,2,3.316668363722076,0.30681691279290657
1948-06-25,2,2.510570577221869,0.4451476505116608
1948-06-26,2,1.7036418984214257,0.6096151698319991
1948-06-27,2,1.3843850465555438,0.7447832439920975
1948-06-28,2,1.779699576271467,0.6466504430584392
1948-06-29,5,2.1890264139975777,
1948-06-30,4,2.2539925322744048,0.44084154538152254
1948-07-01,4,2.4612238225585723,0.4893414327732496
1948-07-02,4,2.9152044286119394,0.4668607346509023
1948-07-03,4,3.531464363769404,0.40394526500329275
1948-07-04,4,4.091543942737938,0.3299098549341524
1948-07-05,4,4.399151808745066,0.2735725836062801
1948-07-06,4,4.3625963518277455,0.25816997112567414
1948-07-07,4,4.0150947132946335,0.296899728449642
1948-07-08,4,3.4934636765514453,0.38895530829167113
1948-07-09,4,2.9775930539685267,0.513610559721799
1948-07-10,4,2.5997410035159163,0.6287427638175255
1948-07-11,4,2.383353828515992,0.6861560039637024
1948-07-12,4,2.2929837802597337,0.6543498738883275
1948-07-13,4,2.3194832245637818,0.5242129495501529
1948-07-14,4,2.464989899445152,0.3035775526292269
1948-07-15,5,2.363166821917157,
1948-07-16,0,2.021539847936904,0.5256993956825916
1948-07-17,0,1.8430648218775165,0.6742175687465712
1948-07-18,0,2.042217668509919,0.6970688486596041
1948-07-19,0,2.5616020191994306,0.6279403370593553
1948-07-20,0,3.198827439244883,0.5198193994655292
1948-07-21,2,3.795194253817612,0.4684790732337277
1948-07-22,2,4.110732279369222,0.48497034038082787
1948-07-23,2,4.326028338859302,0.5025317362414978
1948-07-24,2,4.395772365289469,0.5308223164901746
1948-07-25,2,4.262913646730279,0.5741083048525146
1948-07-26,2,3.895666082495971,0.631702296239902
1948-07-27,2,3.350049726403827,0.6939901739683999
1948-07-28,2,2.8306440533930615,0.72990721700373
1948-07-29,2,2.6564169968289897,0.682092674509554
1948-07-30,2,2.9274765361275823,0.5316177895916029
1948-07-31,2,3.354217280009085,0.34875729485733037
1948-08-01,4,3.4122175572564046,0.34008064551537376
1948-08-02,4,3.3293267683008545,0.33373752224940545
1948-08-03,4,3.2190438160156205,0.24880430675766851
1948-08-04,0,2.9873121841568735,0.3165326421345719
1948-08-05,0,2.8284062929975935,0.4721004625554126
1948-08-06,0,3.0085305253011025,0.5507764466527925
1948-08-07,0,3.317963447055155,0.5660351871175531
1948-08-08,0,3.4915528748195723,0.5464990418641942
1948-08-09,0,3.40982159659505,0.4971474646650921
1948-08-10,0,3.1552174372092385,0.3984799355221779
1948-08-11,5,2.910122667653497,
1948-08-12,4,2.6500866356977077,0.35851325903715225
1948-08-13,4,2.8978291623159667,0.39654161581752856
1948-08-14,4,3.378596741038248,0.3482232879759925
1948-08-15,4,3.682987712385905,0.28080429492628006
1948-08-16,4,3.6471875074612132,0.21212890186639816
1948-08-17,5,3.218211647900255,
1948-08-18,5,2.6897884607204836,
1948-08-19,5,2.395521065752846,
1948-08-20,5,2.533695972683101,
1948-08-21,3,2.9161560789652556,0.22182980413154285
1948-08-22,3,3.1944051393569164,0.3040389497634926
1948-08-23,3,3.430693526355441,0.37133304198671396
1948-08-24,3,3.5978277430711647,0.4152410054184058
1948-08-25,3,3.701861747979261,0.43315687077057524
1948-08-26,3,3.780938606390919,0.4266750814803772
1948-08-27,3,3.9032998199710742,0.40011458461212984
1948-08-28,3,4.1150068825747175,0.3629968252946684
1948-08-29,3,4.367403079496393,0.330747014346159
1948-08-30,3,4.519857231648534,0.31609565846308313
1948-08-31,3,4.4242774780807155,0.32309675309149494
1948-09-01,3,4.016939465058647,0.35043519892946373
1948-09-02,5,3.377699766943464,
1948-09-03,5,2.5716058418709067,
1948-09-04,5,2.1922223331527118,
1948-09-05,2,2.45194566217245,0.22706999776981313
1948-09-06,2,2.969541893567292,0.2252468687353262
1948-09-07,5,3.385814753816986,
1948-09-08,5,3.459304763708315,
1948-09-09,5,3.292430629007131,
1948-09-10,5,3.031043552633051,
1948-09-11,3,2.765280688991723,0.27179899105733074
1948-09-12,3,2.5012030916952424,0.4537135573078998
1948-09-13,3,2.4634387104187954,0.5558929750130688
1948-09-14,3,2.5959946062205606,0.568483305562483
1948-09-15,2,2.5893652026623313,0.24812226293401998
1948-09-16,2,2.299561152447588,0.4484551156393492
1948-09-17,2,2.1664826516831814,0.5788718994691554
1948-09-18,2,2.302459922316983,0.5632683333322519
1948-09-19,2,2.6216296163570005,0.44702450997715387
1948-09-20,4,2.8831000076244697,0.4866736022794236
1948-09-21,4,2.893392214877825,0.43018426057134507
1948-09-22,4,2.7941310353573083,0.2997564819174841
1948-09-23,5,2.3589950958166845,
1948-09-24,5,2.0099687146053653,
1948-09-25,5,2.187825341002904,
1948-09-26,1,2.7618304927489947,0.3591502358871731
1948-09-27,1,3.388581761673213,0.4023664308582182
1948-09-28,1,3.868499418605467,0.40521783666974603
1948-09-29,1,4.036680426548239,0.39398909821467193
1948-09-30,1,3.858594871320347,0.3780782167595503
1948-10-01,1,3.4034111548305352,0.36089934651893596
1948-10-02,1,2.8403176856684036,0.33969886630972734
1948-10-03,1,2.4465716550122107,0.2939019224475795
1948-10-04,1,2.495414993964599,0.20485080430640693
1948-10-05,1,2.9448056018648887,0.136577332149088
1948-10-06,5,3.498407645567178,
1948-10-07,0,3.937686767403914,0.19635676742825364
1948-10-08,0,4.122809521957549,0.23224964305079795
1948-10-09,0,4.138906250894666,0.23927665979349208
1948-10-10,0,3.9859709119038094,0.209594430321206
1948-10-11,1,3.5583638082496436,0.3923634404495972
1948-10-12,1,3.021587704464917,0.44670002194754227
1948-10-13,1,2.6193291529866918,0.4505991211444177
