,WR,distances,corr
1948-01-01,5,1.677547844837931,
1948-01-02,5,1.9048186822098883,
1948-01-03,2,2.2916671824522616,0.2920170411373842
1948-01-04,2,2.5938632623813533,0.3081947898094
1948-01-05,2,2.889797935872304,0.2785245163943583
1948-01-06,1,2.9659946053193305,0.37149170046256635
1948-01-07,1,2.864076764099272,0.43702784532655004
1948-01-08,1,2.5859619744242925,0.4803666601233149
1948-01-09,1,2.17479593644157,0.503266059437906
1948-01-10,5,1.6622940436672697,
1948-01-11,5,1.1789821903835522,
1948-01-12,5,1.1914326295259996,
1948-01-13,5,1.5995871164031672,
1948-01-14,5,2.0495466678592296,
1948-01-15,5,2.4061154110820686,
1948-01-16,4,2.5807646909328974,0.28291111542429015
1948-01-17,4,2.6581079972925132,0.3029421753527373
1948-01-18,4,2.6595300313603416,0.303974263340605
1948-01-19,4,2.6094588797803357,0.2770286035606938
1948-01-20,5,2.460538391122097,
1948-01-21,5,2.2766200964280223,
1948-01-22,2,2.0412144214782604,0.4068766113625235
1948-01-23,2,1.943707933320535,0.5485524686525526
1948-01-24,2,2.1215369420622836,0.6207978036281862
1948-01-25,2,2.5055119206770686,0.6255087178115025
1948-01-26,2,2.9177968370494893,0.5926210369436321
1948-01-27,2,3.204655246440926,0.5441398707081392
1948-01-28,2,3.2783449994905185,0.49239301094965304
1948-01-29,2,3.1237247415517366,0.44602950108802636
1948-01-30,2,2.7987087457108095,0.41402081192463
1948-01-31,2,2.430576518533008,0.40533933843449377
1948-02-01,2,2.195677644182636,0.41808268058982956
1948-02-02,2,2.2273979025058734,0.4324133885952107
1948-02-03,2,2.48676539967199,0.441396572057478
1948-02-04,2,2.814291796877519,0.4514631295208755
1948-02-05,3,3.0489847041138387,0.4832389428787984
1948-02-06,3,3.0454826242476045,0.5028035055339529
1948-02-07,3,2.8999930084450174,0.505572236309641
1948-02-08,3,2.6367897619564196,0.500949023492918
1948-02-09,3,2.350518552201705,0.4942277565518648
1948-02-10,3,2.160708790670726,0.4866752616190159
1948-02-11,2,2.087257341378094,0.3559502471867884
1948-02-12,2,2.0993808045723634,0.3559773697356873
1948-02-13,2,2.1621124161832936,0.3894937379765913
1948-02-14,3,2.216720761192166,0.5414369925828013
1948-02-15,3,2.2728980951462674,0.5621052107260808
1948-02-16,3,2.374710071922388,0.5603407409760753
1948-02-17,3,2.480164327765264,0.5349886337551415
1948-02-18,3,2.5390441400791506,0.4875833780455814
1948-02-19,3,2.550682619210934,0.4178752223372234
1948-02-20,4,2.554112263954795,0.32065202890054567
1948-02-21,4,2.1781144983087564,0.47747009120992173
1948-02-22,4,1.9255313516205141,0.559214629964034
1948-02-23,4,1.809436052321178,0.55520889005116
1948-02-24,4,1.8394234407672987,0.46087222855949844
1948-02-25,5,1.9509919456101539,
1948-02-26,2,2.0863060099834385,0.3198393078815911
1948-02-27,2,2.3014280578549373,0.37373722557442507
