,WR,distances,corr
1940-01-01,0,2.463938036132188,0.5184566025061277
1940-01-02,0,2.662645432785832,0.5653978885198085
1940-01-03,0,2.9169318777535453,0.5525321051103887
1940-01-04,0,3.1227498071845283,0.4956523180608647
1940-01-05,0,3.3027691408800166,0.3946920651076917
1940-01-06,0,3.470584655765483,0.25486357342883864
1940-01-07,1,3.372893085073325,0.2643203981680258
1940-01-08,2,3.1397725029114074,0.23395794885339383
1940-01-09,2,2.764495835351137,0.32318633864758106
1940-01-10,2,2.581987609793869,0.35273858519984447
1940-01-11,3,2.381211174878209,0.3735137960721855
1940-01-12,3,2.5323584986479193,0.3973435126339677
1940-01-13,3,2.880015031525733,0.3352271335206166
1940-01-14,0,3.1512241579237967,0.3793848899822162
1940-01-15,0,2.994322053631258,0.5710421244102758
1940-01-16,0,2.9282884290328623,0.7033529213879873
1940-01-17,0,3.0608320387463146,0.7619431425684501
1940-01-18,0,3.3330280859151333,0.7625459438579112
1940-01-19,0,3.589719066097359,0.7305975838632666
1940-01-20,0,3.7107333950489356,0.6832826474853407
1940-01-21,0,3.6498429438135025,0.6284380874652228
1940-01-22,0,3.4205898851869176,0.5685058655458671
1940-01-23,0,3.0905047504184826,0.5011563260528583
1940-01-24,0,2.8056040895393353,0.4136155645330798
1940-01-25,3,2.632929199257336,0.3244877506079682
1940-01-26,3,2.861853207678276,0.2908058552055743
1940-01-27,1,3.4359283958371516,0.42490429099745575
1940-01-28,1,3.8900398150712805,0.3849489844047154
1940-01-29,1,4.1911128007280665,0.3536326020639758
1940-01-30,1,4.267428443016423,0.3336825581074887
1940-01-31,1,4.168896483746634,0.32432182906479107
1940-02-01,1,4.002453562931867,0.32413670990763577
1940-02-02,1,3.844337672365446,0.3315922996815009
1940-02-03,1,3.6941889416775617,0.34508946364225407
1940-02-04,1,3.5272743864925746,0.35895308632353506
1940-02-05,1,3.382680409562374,0.35746874067462503
1940-02-06,1,3.367418958350725,0.3175011377742167
1940-02-07,1,3.5347186501384007,0.23087258447788264
1940-02-08,2,3.6778018092560067,0.20977252721754835
1940-02-09,2,3.7496489071699983,0.20314002383616495
1940-02-10,5,3.731916100581874,
1940-02-11,5,3.566928675337283,
1940-02-12,5,3.445830130823734,
1940-02-13,0,3.3750028266115457,0.29495023895155253
1940-02-14,0,3.350539807377917,0.38949594270175736
1940-02-15,0,3.3879122288277577,0.4378109590186925
1940-02-16,0,3.3944106213227303,0.45446867669187935
1940-02-17,0,3.3387927955062313,0.45176409263348294
